corpus,file,extension,size_bytes,entropy_bits_per_byte
D1,0000001144-0000000000.json,.json,2894,3.3599
D1,0000001144-0000000000.log,.log,76884,5.7008
D1,0000001145-0000000000.json,.json,2894,3.3599
D1,0000001145-0000000000.log,.log,76884,5.7013
D1,0000001146-0000000000.json,.json,2894,3.3599
D1,0000001146-0000000000.log,.log,76884,5.7012
D1,0000001147-0000000000.json,.json,2894,3.3599
D1,0000001147-0000000000.log,.log,76884,5.7011
D1,0000001148-0000000000.json,.json,2894,3.3599
D1,0000001148-0000000000.log,.log,76884,5.701
D1,0000001149-0000000000.json,.json,2894,3.3599
D1,0000001149-0000000000.log,.log,76884,5.7011
D1,0000001150-0000000000.json,.json,2894,3.3599
D1,0000001150-0000000000.log,.log,76884,5.7011
D1,0000001151-0000000000.json,.json,2894,3.3599
D1,0000001151-0000000000.log,.log,76884,5.7011
D1,0000001152-0000000000.json,.json,2894,3.3599
D1,0000001152-0000000000.log,.log,76884,5.7012
D1,0000001153-0000000000.json,.json,2894,3.3599
D1,0000001153-0000000000.log,.log,76884,5.7012
D1,0000001154-0000000000.json,.json,2894,3.3599
D1,0000001154-0000000000.log,.log,76884,5.7009
D1,0000001155-0000000000.json,.json,2894,3.3599
D1,0000001155-0000000000.log,.log,76884,5.7011
D1,0000001156-0000000000.json,.json,2894,3.3599
D1,0000001156-0000000000.log,.log,76884,5.7011
D1,0000001157-0000000000.json,.json,2894,3.3599
D1,0000001157-0000000000.log,.log,76884,5.701
D1,0000001158-0000000000.json,.json,2894,3.3599
D1,0000001158-0000000000.log,.log,76884,5.7012
D1,0000001159-0000000000.json,.json,2894,3.3599
D1,0000001159-0000000000.log,.log,76884,5.7012
D1,0000001160-0000000000.json,.json,2894,3.3599
D1,0000001160-0000000000.log,.log,76884,5.7012
D1,0000001161-0000000000.json,.json,2894,3.3599
D1,0000001161-0000000000.log,.log,76884,5.7012
D1,0000001162-0000000000.json,.json,2894,3.3599
D1,0000001162-0000000000.log,.log,76884,5.7012
D1,0001.PNG,.png,145979,7.903
D1,001.PNG,.png,20796,7.525
D1,01.PNG,.png,32552,7.7378
D1,011.PNG,.png,760043,7.994
D1,0111.PNG,.png,1067080,7.954
D1,0112.PNG,.png,520772,7.9918
D1,01_data_generator.py,.py,13000,4.5281
D1,02_crypto_system.py,.py,21748,4.6094
D1,03_autoencoder_model.py,.py,15762,4.7248
D1,03_security_tests.py,.py,22344,4.5978
D1,04_benchmarks_supercop.py,.py,16288,4.6245
D1,04_crypto_implementations.py,.py,19826,4.6722
D1,05_supercop_benchmarks.py,.py,23954,4.9054
D1,05_visualization.py,.py,21355,4.9068
D1,06_scalability_tests.py,.py,12411,4.5915
D1,06_side_channel_analysis.py,.py,17889,4.7324
D1,07_energy_analysis.py,.py,16172,4.758
D1,08.PNG,.png,427250,7.9894
D1,08_real_data_loader.py,.py,15401,4.604
D1,09_real_data_benchmarks.py,.py,19995,4.9057
D1,1.PNG,.png,378239,7.966
D1,10_scalability_analysis.py,.py,17302,4.9113
D1,__init__.py,.py,0,0.0
D1,ActionList.xml,.xml,2777,5.585
D1,admin.py,.py,66,4.3769
D1,aes_gcm.py,.py,7331,4.7077
D1,apps.py,.py,160,4.703
D1,archi-1.PNG,.png,226012,7.9704
D1,archi-etendue.PNG,.png,269152,7.9714
D1,archite cnpti.PNG,.png,150022,7.9774
D1,ARCHITECTURE.md,.md,15524,4.9306
D1,b1.png,.png,56180,7.9494
D1,b2.png,.png,49301,7.931
D1,b3.png,.png,23221,7.9249
D1,beyale.PNG,.png,1310945,7.9893
D1,bible.PNG,.png,458354,7.9467
D1,big data.png,.png,276593,7.9852
D1,bigdata.PNG,.png,40257,7.9686
D1,boussole.PNG,.png,53842,7.9673
D1,camtel.PNG,.png,220227,7.9643
D1,Cap.PNG,.png,35996,7.9299
D1,Capt.png,.png,190015,7.9624
D1,capteur empreintes.PNG,.png,47531,7.9468
D1,Capture d'écran 2024-06-15 173646.png,.png,133471,7.9918
D1,Capture d'écran 2024-06-17 232210.png,.png,1059,7.7374
D1,Capture d'écran 2024-06-17 232227.png,.png,108995,7.9767
D1,Capture d'écran 2024-08-12 102555.png,.png,50691,7.9359
D1,Capture d'écran 2024-08-12 102924.png,.png,92153,7.9159
D1,Capture d'écran 2024-08-12 141022.png,.png,675514,7.9654
D1,Capture d'écran 2024-08-12 141103.png,.png,163593,7.9793
D1,Capture d'écran 2024-08-12 141338.png,.png,552397,7.9757
D1,Capture d'écran 2024-08-18 105100.png,.png,37754,7.9454
D1,Capture d'écran 2024-08-18 105153.png,.png,45771,7.9589
D1,Capture d'écran 2024-08-18 114404.png,.png,39865,7.9441
D1,Capture d'écran 2024-08-18 114443.png,.png,45568,7.9533
D1,Capture d'écran 2024-08-20 204648.png,.png,260275,7.9653
D1,Capture d'écran 2024-08-20 205107.png,.png,49749,7.9681
D1,Capture d'écran 2024-08-20 205213.png,.png,152581,7.9538
D1,Capture d'écran 2024-08-20 212626.png,.png,123454,7.9583
D1,Capture d'écran 2024-08-20 213333.png,.png,130790,7.9521
D1,Capture d'écran 2024-08-21 220325.png,.png,431075,7.9678
D1,Capture d'écran 2024-08-21 221413.png,.png,74556,7.98
D1,Capture d'écran 2024-08-22 094105.png,.png,328272,7.9859
D1,Capture d'écran 2025-01-09 043308.png,.png,53446,7.9901
D1,Capture d'écran 2025-01-28 225931.png,.png,28731,7.9358
D1,Capture d'écran 2025-02-27 152739.png,.png,473356,7.9845
D1,Capture d'écran 2025-02-28 130422.png,.png,73803,7.9762
D1,Capture d'écran 2025-03-03 113508.png,.png,111541,7.9643
D1,Capture d'écran 2025-03-10 150941.png,.png,120,4.9078
D1,Capture d'écran 2025-03-13 132438.png,.png,88655,7.9686
D1,Capture d'écran 2025-03-13 135718.png,.png,30970,7.942
D1,Capture d'écran 2025-03-13 140044.png,.png,32982,7.9646
D1,Capture d'écran 2025-03-13 142657.png,.png,16637,7.9383
D1,Capture d'écran 2025-03-13 142831.png,.png,44491,7.9804
D1,Capture d'écran 2025-03-13 145637.png,.png,19763,7.9745
D1,Capture d'écran 2025-03-17 125531.png,.png,119300,7.9889
D1,Capture d'écran 2025-03-17 134243.png,.png,76240,7.9827
D1,Capture d'écran 2025-03-17 140459.png,.png,114067,7.9838
D1,Capture d'écran 2025-03-17 150620.png,.png,423088,7.99
D1,Capture d'écran 2025-03-17 155525.png,.png,43569,7.9807
D1,Capture d'écran 2025-03-17 161118.png,.png,115773,7.9764
D1,Capture d'écran 2025-03-17 162449.png,.png,32942,7.9393
D1,Capture d'écran 2025-03-19 143724.png,.png,440564,7.9751
D1,Capture d'écran 2025-03-19 143748.png,.png,439688,7.9753
D1,Capture d'écran 2025-03-19 152213.png,.png,112999,7.9896
D1,Capture d'écran 2025-03-20 151719.png,.png,30652,7.9111
D1,Capture d'écran 2025-03-20 151735.png,.png,19690,7.9044
D1,Capture d'écran 2025-03-21 115448.png,.png,74726,7.965
D1,Capture d'écran 2025-04-12 145147.png,.png,166580,7.9762
D1,Capture d'écran 2025-04-26 091119.png,.png,17196,7.9696
D1,Capture d'écran 2025-04-26 091520.png,.png,53602,7.9825
D1,Capture d'écran 2025-05-03 092033.png,.png,67916,7.981
D1,Capture d'écran 2025-05-04 114911.png,.png,26507,7.8137
D1,Capture d'écran 2025-05-04 115507.png,.png,32273,7.8657
D1,Capture d'écran 2025-05-04 125647.png,.png,32981,7.9064
D1,Capture d'écran 2025-05-04 130144.png,.png,37276,7.9371
D1,Capture d'écran 2025-05-07 224019.png,.png,73120,7.9568
D1,Capture d'écran 2025-05-09 062703.png,.png,74212,7.9479
D1,Capture d'écran 2025-05-09 062825.png,.png,65484,7.9332
D1,Capture d'écran 2025-05-09 063334.png,.png,103016,7.9562
D1,Capture d'écran 2025-05-09 063822.png,.png,42459,7.949
D1,Capture d'écran 2025-05-09 064015.png,.png,84443,7.9761
D1,Capture d'écran 2025-05-09 064243.png,.png,41718,7.7643
D1,Capture d'écran 2025-05-09 064355.png,.png,63139,7.9383
D1,Capture d'écran 2025-05-09 064813.png,.png,73058,7.96
D1,Capture d'écran 2025-05-23 102431.png,.png,46383,7.9753
D1,Capture d'écran 2025-05-30 070622.png,.png,60244,7.9657
D1,Capture d'écran 2025-06-06 124840.png,.png,30843,7.9575
D1,Capture d'écran 2025-06-15 102851.png,.png,4013,7.922
D1,Capture d'écran 2025-06-15 102921.png,.png,60492,7.9685
D1,Capture d'écran 2025-06-15 103033.png,.png,31626,7.9655
D1,Capture d'écran 2025-06-15 164141.png,.png,276612,7.9853
D1,Capture d'écran 2025-06-25 193008.png,.png,938371,7.9806
D1,Capture d'écran 2025-06-25 193058.png,.png,597335,7.9683
D1,Capture d'écran 2025-07-16 211730.png,.png,44211,7.9176
D1,Capture d'écran 2025-07-22 152018.png,.png,41148,7.9377
D1,Capture d'écran 2025-07-23 144707.png,.png,58156,7.9262
D1,Capture d'écran 2025-07-28 224414.png,.png,13106,7.8634
D1,Capture d'écran 2025-07-28 224454.png,.png,20160,7.9162
D1,Capture d'écran 2025-07-28 224602.png,.png,8158,7.8889
D1,Capture d'écran 2025-08-16 200243.png,.png,60664,7.9858
D1,Capture d'écran 2025-09-20 000052.png,.png,36101,7.9214
D1,Capture d'écran 2025-09-20 000250.png,.png,35996,7.93
D1,Capture d'écran 2025-09-29 101114.png,.png,120679,7.9862
D1,Capture d'écran 2025-09-29 101153.png,.png,177,5.8591
D1,Capture d'écran 2025-09-29 101215.png,.png,132887,7.986
D1,Capture d'écran 2025-09-29 121707.png,.png,119411,7.9882
D1,Capture d'écran 2025-09-29 121724.png,.png,129070,7.981
D1,Capture d'écran 2025-09-30 202137.png,.png,94262,7.9813
D1,Capture d'écran 2025-10-03 020927.png,.png,54478,7.9886
D1,Capture d'écran 2025-10-03 023452.png,.png,215487,7.9871
D1,Capture d'écran 2025-10-03 030132.png,.png,76334,7.9182
D1,Capture d'écran 2025-10-03 032249.png,.png,120,4.8974
D1,Capture d'écran 2025-10-10 133118.png,.png,85559,7.9467
D1,Capture d'écran 2025-10-12 040919.png,.png,122668,7.9825
D1,Capture d'écran 2025-10-12 041745.png,.png,121124,7.9802
D1,Capture d'écran 2025-10-12 041812.png,.png,25405,7.984
