corpus,config,kem,replicate,seed,file,extension,family,route,size_bytes,payload_bytes,cipher_bytes,entropy_bits_per_byte,t_io_ms,t_entropy_ms,t_compress_ms,t_kem_keygen_ms,t_kem_encaps_ms,t_kem_decaps_ms,t_kdf_ms,t_aes_encrypt_ms,t_aes_decrypt_ms,t_total_ms,verified,timestamp
D3,B,python,0,20260801,d3_000210.bin,.bin,high,none,39450301,39450301,39450317,7.9974,21.3749,0.0007,0.0007,5.0769,5.7985,7.4914,0.0516,24.5828,0.0,66.5769,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000211.bin,.bin,high,none,47994027,47994027,47994043,7.9974,27.2908,0.0004,0.0008,8.7967,10.528,9.4397,0.0527,35.5102,0.0,95.5475,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000212.bin,.bin,high,none,75734323,75734323,75734339,7.9968,47.6581,0.0004,0.0006,4.5921,5.6084,7.3504,0.0525,45.0854,0.0,112.6289,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000213.bin,.bin,high,none,73730662,73730662,73730678,7.9972,43.5664,0.0004,0.0007,4.5179,5.6303,7.3299,0.0504,43.5893,0.0,106.7683,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000214.bin,.bin,high,none,70543242,70543242,70543258,7.9974,39.4423,0.0006,0.0007,4.599,5.5533,7.2311,0.0529,41.8146,0.0,100.7727,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000215.bin,.bin,high,none,47905243,47905243,47905259,7.9973,26.5209,0.0004,0.0006,4.6186,5.652,7.3503,0.0538,28.9295,0.0,75.2099,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000216.bin,.bin,high,none,59500388,59500388,59500404,7.9975,31.8756,0.0007,0.0007,4.6108,5.7568,7.4157,0.0535,35.9012,0.0,87.7048,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000217.bin,.bin,high,none,66829799,66829799,66829815,7.9972,38.158,0.0004,0.0006,4.6584,5.6861,7.458,0.0564,40.871,0.0,98.9644,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000218.bin,.bin,high,none,72206082,72206082,72206098,7.997,42.6495,0.0004,0.0007,4.643,5.7314,8.0146,0.0562,47.622,0.0,111.8907,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000219.bin,.bin,high,none,24039213,24039213,24039229,7.9974,13.3049,0.0005,0.0007,4.599,5.6892,7.5467,0.06,7.4139,0.0,40.9764,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000220.bin,.bin,high,none,79901145,79901145,79901161,7.9973,48.3069,0.0006,0.0006,4.6371,5.6643,7.3551,0.0536,48.1367,0.0,116.2541,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000221.bin,.bin,high,none,39876402,39876402,39876418,7.9971,22.0984,0.0007,0.0008,4.5537,5.6702,7.382,0.0539,24.0677,0.0,66.596,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000222.bin,.bin,high,none,47417036,47417036,47417052,7.9975,25.5906,0.0006,0.0006,4.5733,5.5611,7.2504,0.0539,28.7168,0.0,73.8258,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000223.bin,.bin,high,none,69730511,69730511,69730527,7.9972,42.1377,0.0005,0.0007,4.5912,5.6196,7.2945,0.0544,41.6015,0.0,103.3487,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000224.bin,.bin,high,none,65991492,65991492,65991508,7.9973,39.6953,0.0005,0.0006,4.5621,5.584,7.288,0.0606,40.2622,0.0,99.5569,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000225.bin,.bin,high,none,43595199,43595199,43595215,7.9975,24.1642,0.0005,0.0004,4.5901,5.6268,7.539,0.0531,26.5789,0.0,70.6025,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000226.bin,.bin,high,none,63021966,63021966,63021982,7.9972,36.7557,0.0005,0.0007,4.6231,5.7317,7.5051,0.0547,37.9714,0.0,95.0066,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000227.bin,.bin,high,none,75277222,75277222,75277238,7.9977,43.9566,0.0004,0.001,4.7167,6.342,7.757,0.0536,45.7169,0.0,110.643,,2026-08-13T11:05:56
D3,B,python,0,20260801,d3_000228.bin,.bin,high,none,51932492,51932492,51932508,7.9973,29.4759,0.0008,0.0008,4.6461,5.7233,10.4769,0.0636,42.2053,0.0,96.1056,,2026-08-13T11:05:56
